Syncmode 0, Channel 6:
1024 eb8d4 eb8d0
3ff eb8d0 eb8cc
3fe eb8cc eb8c8
3fd eb8c8 eb8c4
3fc eb8c4 eb8c0
3fb eb8c0 eb8bc
3fa eb8bc eb8b8
3f9 eb8b8 eb8b4
3f8 eb8b4 eb8b0
3f7 eb8b0 eb8ac
3f6 eb8ac eb8a8
3f5 eb8a8 eb8a4
3f4 eb8a4 eb8a0
3f3 eb8a0 eb89c
3f2 eb89c eb898
3f1 eb898 eb894
3f0 eb894 eb890
3ef eb890 eb88c
3ee eb88c eb888
3ed eb888 eb884
3ec eb884 eb880
3eb eb880 eb87c
3ea eb87c eb878
3e9 eb878 eb874
3e8 eb874 eb870
3e7 eb870 eb86c
3e6 eb86c eb868
3e5 eb868 eb864
3e4 eb864 eb860
3e3 eb860 eb85c
3e2 eb85c eb858
3e1 eb858 eb854
3e0 eb854 eb850
3df eb850 eb84c
3de eb84c eb848
3dd eb848 eb844
3dc eb844 eb840
3db eb840 eb83c
3da eb83c eb838
3d9 eb838 eb834
3d8 eb834 eb830
3d7 eb830 eb82c
3d6 eb82c eb828
3d5 eb828 eb824
3d4 eb824 eb820
3d3 eb820 eb81c
3d2 eb81c eb818
3d1 eb818 eb814
3d0 eb814 eb810
3cf eb810 eb80c
3ce eb80c eb808
3cd eb808 eb804
3cc eb804 eb800
3cb eb800 eb7fc
3ca eb7fc eb7f8
3c9 eb7f8 eb7f4
3c8 eb7f4 eb7f0
3c7 eb7f0 eb7ec
3c6 eb7ec eb7e8
3c5 eb7e8 eb7e4
3c4 eb7e4 eb7e0
3c3 eb7e0 eb7dc
3c2 eb7dc eb7d8
3c1 eb7d8 eb7d4
3c0 eb7d4 eb7d0
3bf eb7d0 eb7cc
3be eb7cc eb7c8
3bd eb7c8 eb7c4
3bc eb7c4 eb7c0
3bb eb7c0 eb7bc
3ba eb7bc eb7b8
3b9 eb7b8 eb7b4
3b8 eb7b4 eb7b0
3b7 eb7b0 eb7ac
3b6 eb7ac eb7a8
3b5 eb7a8 eb7a4
3b4 eb7a4 eb7a0
3b3 eb7a0 eb79c
3b2 eb79c eb798
3b1 eb798 eb794
3b0 eb794 eb790
3af eb790 eb78c
3ae eb78c eb788
3ad eb788 eb784
3ac eb784 eb780
3ab eb780 eb77c
3aa eb77c eb778
3a9 eb778 eb774
3a8 eb774 eb770
3a7 eb770 eb76c
3a6 eb76c eb768
3a5 eb768 eb764
3a4 eb764 eb760
3a3 eb760 eb75c
3a2 eb75c eb758
3a1 eb758 eb754
3a0 eb754 eb750
39f eb750 eb74c
39e eb74c eb748
39d eb748 eb744
39c eb744 eb740
39b eb740 eb73c
39a eb73c eb738
399 eb738 eb734
398 eb734 eb730
397 eb730 eb72c
396 eb72c eb728
395 eb728 eb724
394 eb724 eb720
393 eb720 eb71c
392 eb71c eb718
391 eb718 eb714
390 eb714 eb710
38f eb710 eb70c
38e eb70c eb708
38d eb708 eb704
38c eb704 eb700
38b eb700 eb6fc
38a eb6fc eb6f8
389 eb6f8 eb6f4
388 eb6f4 eb6f0
387 eb6f0 eb6ec
386 eb6ec eb6e8
385 eb6e8 eb6e4
384 eb6e4 eb6e0
383 eb6e0 eb6dc
382 eb6dc eb6d8
381 eb6d8 eb6d4
380 eb6d4 eb6d0
37f eb6d0 eb6cc
37e eb6cc eb6c8
37d eb6c8 eb6c4
37c eb6c4 eb6c0
37b eb6c0 eb6bc
37a eb6bc eb6b8
379 eb6b8 eb6b4
378 eb6b4 eb6b0
377 eb6b0 eb6ac
376 eb6ac eb6a8
375 eb6a8 eb6a4
374 eb6a4 eb6a0
373 eb6a0 eb69c
372 eb69c eb698
371 eb698 eb694
370 eb694 eb690
36f eb690 eb68c
36e eb68c eb688
36d eb688 eb684
36c eb684 eb680
36b eb680 eb67c
36a eb67c eb678
369 eb678 eb674
368 eb674 eb670
367 eb670 eb66c
366 eb66c eb668
365 eb668 eb664
364 eb664 eb660
363 eb660 eb65c
362 eb65c eb658
361 eb658 eb654
360 eb654 eb650
35f eb650 eb64c
35e eb64c eb648
35d eb648 eb644
35c eb644 eb640
35b eb640 eb63c
35a eb63c eb638
359 eb638 eb634
358 eb634 eb630
357 eb630 eb62c
356 eb62c eb628
355 eb628 eb624
354 eb624 eb620
353 eb620 eb61c
352 eb61c eb618
351 eb618 eb614
350 eb614 eb610
34f eb610 eb60c
34e eb60c eb608
34d eb608 eb604
34c eb604 eb600
34b eb600 eb5fc
34a eb5fc eb5f8
349 eb5f8 eb5f4
348 eb5f4 eb5f0
347 eb5f0 eb5ec
346 eb5ec eb5e8
345 eb5e8 eb5e4
344 eb5e4 eb5e0
343 eb5e0 eb5dc
342 eb5dc eb5d8
341 eb5d8 eb5d4
340 eb5d4 eb5d0
33f eb5d0 eb5cc
33e eb5cc eb5c8
33d eb5c8 eb5c4
33c eb5c4 eb5c0
33b eb5c0 eb5bc
33a eb5bc eb5b8
339 eb5b8 eb5b4
338 eb5b4 eb5b0
337 eb5b0 eb5ac
336 eb5ac eb5a8
335 eb5a8 eb5a4
334 eb5a4 eb5a0
333 eb5a0 eb59c
332 eb59c eb598
331 eb598 eb594
330 eb594 eb590
32f eb590 eb58c
32e eb58c eb588
32d eb588 eb584
32c eb584 eb580
32b eb580 eb57c
32a eb57c eb578
329 eb578 eb574
328 eb574 eb570
327 eb570 eb56c
326 eb56c eb568
325 eb568 eb564
324 eb564 eb560
323 eb560 eb55c
322 eb55c eb558
321 eb558 eb554
320 eb554 eb550
31f eb550 eb54c
31e eb54c eb548
31d eb548 eb544
31c eb544 eb540
31b eb540 eb53c
31a eb53c eb538
319 eb538 eb534
318 eb534 eb530
317 eb530 eb52c
316 eb52c eb528
315 eb528 eb524
314 eb524 eb520
313 eb520 eb51c
312 eb51c eb518
311 eb518 eb514
310 eb514 eb510
30f eb510 eb50c
30e eb50c eb508
30d eb508 eb504
30c eb504 eb500
30b eb500 eb4fc
30a eb4fc eb4f8
309 eb4f8 eb4f4
308 eb4f4 eb4f0
307 eb4f0 eb4ec
306 eb4ec eb4e8
305 eb4e8 eb4e4
304 eb4e4 eb4e0
303 eb4e0 eb4dc
302 eb4dc eb4d8
301 eb4d8 eb4d4
300 eb4d4 eb4d0
2ff eb4d0 eb4cc
2fe eb4cc eb4c8
2fd eb4c8 eb4c4
2fc eb4c4 eb4c0
2fb eb4c0 eb4bc
2fa eb4bc eb4b8
2f9 eb4b8 eb4b4
2f8 eb4b4 eb4b0
2f7 eb4b0 eb4ac
2f6 eb4ac eb4a8
2f5 eb4a8 eb4a4
2f4 eb4a4 eb4a0
2f3 eb4a0 eb49c
2f2 eb49c eb498
2f1 eb498 eb494
2f0 eb494 eb490
2ef eb490 eb48c
2ee eb48c eb488
2ed eb488 eb484
2ec eb484 eb480
2eb eb480 eb47c
2ea eb47c eb478
2e9 eb478 eb474
2e8 eb474 eb470
2e7 eb470 eb46c
2e6 eb46c eb468
2e5 eb468 eb464
2e4 eb464 eb460
2e3 eb460 eb45c
2e2 eb45c eb458
2e1 eb458 eb454
2e0 eb454 eb450
2df eb450 eb44c
2de eb44c eb448
2dd eb448 eb444
2dc eb444 eb440
2db eb440 eb43c
2da eb43c eb438
2d9 eb438 eb434
2d8 eb434 eb430
2d7 eb430 eb42c
2d6 eb42c eb428
2d5 eb428 eb424
2d4 eb424 eb420
2d3 eb420 eb41c
2d2 eb41c eb418
2d1 eb418 eb414
2d0 eb414 eb410
2cf eb410 eb40c
2ce eb40c eb408
2cd eb408 eb404
2cc eb404 eb400
2cb eb400 eb3fc
2ca eb3fc eb3f8
2c9 eb3f8 eb3f4
2c8 eb3f4 eb3f0
2c7 eb3f0 eb3ec
2c6 eb3ec eb3e8
2c5 eb3e8 eb3e4
2c4 eb3e4 eb3e0
2c3 eb3e0 eb3dc
2c2 eb3dc eb3d8
2c1 eb3d8 eb3d4
2c0 eb3d4 eb3d0
2bf eb3d0 eb3cc
2be eb3cc eb3c8
2bd eb3c8 eb3c4
2bc eb3c4 eb3c0
2bb eb3c0 eb3bc
2ba eb3bc eb3b8
2b9 eb3b8 eb3b4
2b8 eb3b4 eb3b0
2b7 eb3b0 eb3ac
2b6 eb3ac eb3a8
2b5 eb3a8 eb3a4
2b4 eb3a4 eb3a0
2b3 eb3a0 eb39c
2b2 eb39c eb398
2b1 eb398 eb394
2b0 eb394 eb390
2af eb390 eb38c
2ae eb38c eb388
2ad eb388 eb384
2ac eb384 eb380
2ab eb380 eb37c
2aa eb37c eb378
